CompanyName,Contact,Address1,Address2,City,State,Zip1,Zip2,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip1,MailingZip2,RegistrationDate,County,ExpirationDate,StateCompanyID,CompanyType
"CHAMBERS DY,INC., DOUGLAS",DOUGLAS CHAMBERS,300  MAYZING DAIRY RD,,MACON,GA,31217,,300  MAYZING DAIRY RD,,MACON,GA,31217,,1/1/1900,JONES,12/31/2027,527556,420
CHARLES DREW #181,,1950 SE HWY 484,,BELLEVIEW,FL,34421,,PO BOX 3790,,BELLEVIEW,FL,34421,,2/24/2012,DOOLY,12/31/2027,1409235,470
CHARLEY & SONS INC,WARD SWEAT,1591  MURPHY AVE SW,,ATLANTA,GA,30310,,PO BOX 10557,,ATLANTA,GA,30310,,3/2/2015,FULTON,12/31/2027,2794506,440
CHARLIE BENNETT #DL070,CHARLIE BENNETT ,2923 JACKSON DAIRY RD ,,BACONTON,GA,31716,,2923 JACKSON DAIRY RD ,,BACONTON,GA,31716,,6/7/2018,MITCHELL,12/31/2027,55567564,470
CHARLIE LASTER #3,,1950 SE HWY 484,,BELLEVIEW,FL,34421,,PO BOX 3790,,BELLEVIEW,FL,34421,,8/4/2011,MARION,12/31/2027,1408405,470
"CHOBANI, LLC",,669  COUNTY RD 25,,NEW BERLIN,NY,13411,,147  STATE HWY 320,,NORWICH,NY,13815,,2/15/2013,,12/31/2027,1692617,445
CKS PACKAGING,CHARLES SEWELL,5515  TULANE,,ATLANTA,GA,30336,,PO BOX 44386,,ATLANTA,GA,30336,,2/23/2009,FULTON,12/31/2030,527685,450
"CKS PACKAGING, INC-PET",CHARLES SEWELL,5545  TULANE DR,,ATLANTA,GA,30336,,445  GREAT SOUTHWEST PARKWAY,,ATLANTA,GA,30336,,8/2/2013,FULTON,12/31/2027,1972844,450
CKS-FISK DR.,CHARLES SEWELL,300 SW FISK DR,,ATLANTA,GA,30336,,300 SW FISK DR,,ATLANTA,GA,30336,,2/24/2009,FULTON,12/31/2012,527733,450
CLAUS HAAREN #DL023,,1961  MONUMENT CHURCH RD,,QUITMAN,GA,31643,,PO BOX 508,,QUITMAN,GA,31643,,4/6/2016,BROOKS,12/31/2027,50003685,470
COASTAL PLAINS EXPERIMENT STATION,JOHN BERNARD,795  ANIMAL SCIENCE DR,,TIFTON,GA,31794,,2360  RAINWATER RD,,TIFTON,GA,31793,,1/1/1900,TIFT,12/31/2013,527492,420
COBB CREEK DAIRY,RAY DUVALL,1230  HANSON RD,,GREENSBORO,GA,30642,,1230  HANSON RD,,GREENSBORO,GA,30642,,1/1/1900,GREENE,12/31/2027,527786,420
"COBBLESTONE MILK COOPERATIVE, INC.",BENNETT FULPER,2625  OXFORD RD,,CHATHAM,VA,24531,,2625  OXFORD RD,,CHATHAM,VA,24531,,12/30/2014,,12/31/2027,2666566,415
COLEMAN DAIRY,,6901  I-30,,LITTLE ROCK,AR,72209,,6901  I-30,,LITTLE ROCK,AR,72209,,11/15/2012,,12/31/2027,1692459,435
COMERFORD FARMS,MATTHEW COMERFORD,1555  LOWER BIG SPRINGS ROAD,,LAGRANGE,GA,30241,,1555  LOWER BIG SPRINGS ROAD,,LAGRANGE,GA,30241,,4/8/2014,TROUP,12/31/2027,2484414,420
CONSOLIDATED CONTAINER CO.,JOE PALMER,400  INDECO BLVD  STE A,,ATLANTA,GA,30336,,400  INDECO BLVD  STE A,,ATLANTA,GA,30336,,1/1/1900,FULTON,12/31/2027,527765,450
CONSOLIDATED CONTAINER COMPANY #1063 A,,6220  DUQUESNE DRIVE S W,,ATLANTA,GA,30336,,6220  DUQUESNE DRIVE S W,,ATLANTA,GA,30336,,11/12/2014,FULTON,12/31/2027,2484417,450
COODY DAIRY FARM,MARK COODY,3688  COODY DAIRY RD,,VIENNA,GA,31092,,3465  COODY DAIRY RD,,VIENNA,GA,31092,,1/1/1900,DOOLY,12/31/2027,527511,420
CORE-MARK DISTRIBUTORS INC (TAMPA),HELEN HAYES,9020  KING PALM DR,,TAMPA,FL,33619,,PO BOX 21009,,SEATTLE,WA,98111,,1/17/2017,HABERSHAM,12/31/2027,55558886,460
CREGG ROCKETT #DL077,CREGG ROCKETT ,320 HIGHBRIGHTON DAIRY RD UNIT A ,,MONTEZUMA,GA,31063,,PO BOX 820 ,,MONTEZUMA,GA,31063,,1/11/2019,MACON,12/31/2027,55567598,470
CROSSROAD FARMS DAIRY,,400 S SHORTRIDGE RD,,INDIANAPOLIS,IN,46219,,400 S SHORTRIDGE RD,,INDIANAPOLIS,IN,46219,,10/23/2012,,12/31/2027,1692526,445
"DADDY O'S ICE CREAM, LLC",FRANK O''BRIAN,5910 SUWANEE DAM RD ,,BUFORD,GA,30518,,5910 SUWANEE DAM RD ,,BUFORD,GA,30518,,7/31/2018,GWINNETT,12/31/2027,55567660,440
"DAIRY DIRECT, INC.",STEPHEN MUSSER,16  FOREST PKWY  BLDG G,,FOREST PARK,GA,30297,,520 N SATINWOOD PL,,ROSWELL,GA,30076,,3/3/2017,CLAYTON,12/31/2027,55560159,460
"DAIRY FARMERS OF AMERICA, INC.",,10411 COGDILL RD,,KNOXVILLE,TN,37932,,10411  COGDILL RD,,KNOXVILLE,TN,37932,,11/15/2012,,12/31/2013,1692453,415
DAIRY PAK,,600  DAIRY PAK RD,,ATHENS,GA,30607,,600  DAIRY PAK RD,,ATHENS,GA,30607,,11/5/2008,CLARKE,12/31/2012,527686,450
DAISY BRAND LLC,,752 W ASH AVE,,CASA GRANDE,AZ,85193,,12750  MERIT DR  STE 600,,DALLAS,TX,75251,,12/13/2013,,12/31/2027,2041674,435
"DAISY BRAND, LLC",,3636  LOAN ROAD,,GARLAND,TX,75041,,12750  MERIT DR   SUITE 600,,FORNEY,TX,75126,,12/13/2013,,12/31/2027,1692512,435
DANIEL LOUIS #046,DANIEL LOUIS,445 HURRICANE TRL,,DACULA,GA,30019,,PO BOX 1130 ,,LAWRENCEVILLE,GA,30046,,11/13/2019,GWINNETT,12/31/2027,55567653,475
DANIEL WILLIAMS #DL013,DANIEL WILLIAMS,1141  BROUGHTON RD,,MADISON,GA,30650,,1141  BROUGHTON RD,,MADISON,GA,30650,,3/29/2016,MORGAN,12/31/2027,50003520,470
DAVID ALLAN SPICHER #134,DAVID ALLAN SPICHER,4019  RED OAK RD,,BAXLEY,GA,31513,,4019  RED OAK RD,,BAXLEY,GA,31513,,1/1/1900,APPLING,12/31/2014,1381985,470
DAVID E. LAVENDER #216,,384  LOWER HARMONY RD,,EATONTON,GA,31024,,PO BOX 3459,,EATONTON,GA,31024,,8/7/2015,PUTNAM,12/31/2027,37109434,470
DAVID GREENFIELD #DL095,DAVID GREENFIELD ,500 PROGRESSIVE RD ,,MONTEZUMA,GA,31063,,500 PROGRESSIVE RD ,,MONTEZUMA,GA,31063,,6/20/2019,DOOLY,12/31/2027,55567640,
DAVID MCGATHA #027,,1950 SE HWY 484,,BELLEVIEW,FL,34420,,PO BOX 3790,,BELLEVIEW,FL,34421,,9/14/2016,,12/31/2027,55556737,470
DAVID MOTT #114,,384  LOWER HARMONY RD,,EATONTON,GA,31024,,PO BOX 3459,,EATONTON,GA,31024,,5/7/2014,PUTNAM,12/31/2027,1381984,470
DAVID ZAK RICHARDSON #DL073,DAVID ZAK RICHARDSON ,906 US HWY 19 N ,,LEESBURG,GA,31763,,906 US HWY 19 N ,,LEESBURG,GA,31763,,9/6/2018,LEE,12/31/2027,55567577,470
"DAVIS DAIRY, LLC",,430 SE HWY. 203,,BAXLEY,GA,31513,,430 SE HWY. 203,,BAXLEY,GA,31513,,1/1/1900,APPLING,12/31/2027,527791,420
"DAVIS, JACK-GREEN GLADES FARM",HECK DAVIS,336  GLADES RD,,EATONTON,GA,31024,,"336  GLADES RD., N.W.",,EATONTON,GA,31024,,1/1/1900,PUTNAM,12/31/2027,527561,420
DAYSTAR DAIRY FARM,,2770  OLD RINGGOLD RD,,LA FAYETTE,GA,30728,,1306  MCINTIRE RD,,ROCK SPRING,GA,30739,,5/22/2015,WALKER,12/31/2027,2794765,420
"DEAN DAIRY FLUID , LLC dba T.G. LEE FOODS, LLC",DOUG BURKEL,315 N BUMBY AVENUE,,ORLANDO,FL,32803,,315 N BUMBY AVENUE,,ORLANDO,FL,32803,,11/16/2012,,12/31/2027,1692503,435
"DEAN DAIRY FLUID, LLC DHA T.G. LEE FOODS, LLC",BRIAN WILSON,1675  SR 472,,ORANGE CITY,FL,32763,,PO BOX 741126,,ORANGE CITY,FL,32774,,10/24/2012,,12/31/2027,1692505,435
DEAN J. SICARD #072,MARK EDMINSTON,"730  DEKALB INDUSTRIAL BLVD, ATTN: MARK EDMINSTON",,DECATUR,GA,30030,,"730  DEKALB INDUSTRIAL BLVD, ATTN: MARK EDMINSTON",,DECATUR,GA,30030,,5/1/2014,DEKALB,12/31/2027,1197451,475
DECIMAL PLACE FARM (farm),MARY HART,4314  ALMACH AVE,,CONLEY,GA,30288,,4314  ALMACH AVE,,CONLEY,GA,30288,,1/1/1900,CLAYTON,12/31/2013,1382005,421
DECIMAL PLACE FARM (plant),MARY HART,4314  ALMACH DR,,CONLEY,GA,30288,,4314  ALMACH DR,,CONLEY,GA,30288,,1/1/1900,CLAYTON,12/31/2012,527821,440
"DENNIS, FREDERICK, JR.",FREDERICK DENNIS,236  CROOKED CREEK RD,,EATONTON,GA,31024,,236  CROOKED CREEK RD,,EATONTON,GA,31024,,1/1/1900,PUTNAM,12/31/2027,527493,420
DEREK EUBANKS #DL092,DEREK EUBANKS ,4483 CHERRY RD NE ,,ARLINGTON,GA,39813,,PO BOX 536 ,,ARLINGTON,GA,39813,,6/20/2019,CALHOUN,12/31/2027,55567637,470
